date,hhi_component,share_pct,tier,volume_usd
2023-02-01 00:00:00.000 UTC,7863.33,88.68,Tier1,1662489261.613856
2023-02-01 00:00:00.000 UTC,0.27,0.52,Tier2,9816864.23488
2023-02-01 00:00:00.000 UTC,116.66,10.8,Tier3,202497079.38592792
2023-02-02 00:00:00.000 UTC,6723.82,82,Tier1,986960300.3063949
2023-02-02 00:00:00.000 UTC,0,0,Tier2,0
2023-02-02 00:00:00.000 UTC,324.04,18,Tier3,216666334.21360105
2023-02-03 00:00:00.000 UTC,9310.95,96.49,Tier1,7585499994.123968
2023-02-03 00:00:00.000 UTC,12.3,3.51,Tier3,275670780.7823541
2023-02-04 00:00:00.000 UTC,3623.96,60.2,Tier1,209612072.7481807
2023-02-04 00:00:00.000 UTC,1584.09,39.8,Tier3,138584720.16996297
2023-02-05 00:00:00.000 UTC,2964.6,54.45,Tier1,330380962.21626776
2023-02-05 00:00:00.000 UTC,2074.97,45.55,Tier3,276399701.778158
2023-02-06 00:00:00.000 UTC,6272.17,79.2,Tier1,1712710692.422633
2023-02-06 00:00:00.000 UTC,133.64,11.56,Tier2,250000000
2023-02-06 00:00:00.000 UTC,85.43,9.24,Tier3,199883398.66550788
2023-02-07 00:00:00.000 UTC,1347.45,36.71,Tier1,1360301061.1887507
2023-02-07 00:00:00.000 UTC,2912.74,53.97,Tier2,2000000000
2023-02-07 00:00:00.000 UTC,86.91,9.32,Tier3,345472970.4984939
2023-02-08 00:00:00.000 UTC,7571.99,87.02,Tier1,1663235976.7725942
2023-02-08 00:00:00.000 UTC,168.55,12.98,Tier3,248152262.9703481
2023-02-09 00:00:00.000 UTC,7302.79,85.46,Tier1,2532600373.349231
2023-02-09 00:00:00.000 UTC,45.54,6.75,Tier2,200000000
2023-02-09 00:00:00.000 UTC,60.76,7.8,Tier3,231017143.894443
2023-02-10 00:00:00.000 UTC,9726.89,98.62,Tier1,19711641349.942543
2023-02-10 00:00:00.000 UTC,1.89,1.38,Tier3,274818637.76590496
2023-02-11 00:00:00.000 UTC,5493.71,74.12,Tier1,465555408.6823187
2023-02-11 00:00:00.000 UTC,669.8,25.88,Tier3,162558877.38640913
2023-02-12 00:00:00.000 UTC,7531.63,86.78,Tier1,597471553.7176249
2023-02-12 00:00:00.000 UTC,174.64,13.22,Tier3,90978763.726927
2023-02-13 00:00:00.000 UTC,4602.46,67.84,Tier1,3831967751.7715836
2023-02-13 00:00:00.000 UTC,56.67,7.53,Tier2,425195005
2023-02-13 00:00:00.000 UTC,606.68,24.63,Tier3,1391256649.5065517
2023-02-14 00:00:00.000 UTC,9272.08,96.29,Tier1,10699624789.782948
2023-02-14 00:00:00.000 UTC,0.83,0.91,Tier2,100999001
2023-02-14 00:00:00.000 UTC,7.84,2.8,Tier3,311062774.7529379
2023-02-15 00:00:00.000 UTC,8605.18,92.76,Tier1,3332027540.122734
2023-02-15 00:00:00.000 UTC,4.96,2.23,Tier2,80000000
