collateral_token,date,liquidation_count,liquidation_usd
USDC,2023-03-11 00:00:00.000 UTC,1,47431.636103
USDC,2023-03-14 00:00:00.000 UTC,1,12853.676715
USDC,2023-04-05 00:00:00.000 UTC,1,28442.869677
USDC,2023-04-09 00:00:00.000 UTC,2,128.977026
USDC,2023-04-13 00:00:00.000 UTC,1,1288.744231
USDC,2023-04-14 00:00:00.000 UTC,1,1526.399137
USDC,2023-06-10 00:00:00.000 UTC,1,1181.683254
DAI,2023-06-15 00:00:00.000 UTC,1,522489981685391.7
DAI,2023-06-16 00:00:00.000 UTC,1,3136363874443814
USDC,2023-06-21 00:00:00.000 UTC,1,86974.221211
USDC,2023-08-19 00:00:00.000 UTC,1,501.241026
USDC,2023-08-23 00:00:00.000 UTC,1,596.265609
USDC,2023-09-20 00:00:00.000 UTC,1,3372.254035
USDC,2023-09-23 00:00:00.000 UTC,1,35597.350448
DAI,2023-10-20 00:00:00.000 UTC,1,703137559139477.2
USDC,2023-10-21 00:00:00.000 UTC,3,57222.794433
USDC,2023-10-22 00:00:00.000 UTC,1,497.836903
DAI,2023-10-23 00:00:00.000 UTC,2,851392787588766100
USDC,2023-10-23 00:00:00.000 UTC,1,290.884543
USDC,2023-10-25 00:00:00.000 UTC,3,36965.693084
DAI,2023-11-06 00:00:00.000 UTC,1,43012826097998744
USDC,2023-11-06 00:00:00.000 UTC,1,49995.784379
USDC,2023-11-08 00:00:00.000 UTC,1,15598.967038
DAI,2023-11-09 00:00:00.000 UTC,2,493988289127716350
USDC,2023-11-09 00:00:00.000 UTC,3,92999.348937
DAI,2023-12-04 00:00:00.000 UTC,1,285903036756294000
USDC,2023-12-04 00:00:00.000 UTC,1,42921.91896
USDT,2023-12-04 00:00:00.000 UTC,1,2322.046283
USDC,2023-12-05 00:00:00.000 UTC,2,40170.420096999995
USDC,2023-12-07 00:00:00.000 UTC,1,1642.631647
USDT,2023-12-11 00:00:00.000 UTC,1,1670.471094
DAI,2023-12-24 00:00:00.000 UTC,1,461172165266211.7
USDC,2023-12-25 00:00:00.000 UTC,1,414.121178
DAI,2023-12-26 00:00:00.000 UTC,1,496097766073989.2
USDC,2023-12-27 00:00:00.000 UTC,1,803.950649
DAI,2024-01-01 00:00:00.000 UTC,1,301217142697387.44
USDT,2024-01-03 00:00:00.000 UTC,1,6749.72367
DAI,2024-01-10 00:00:00.000 UTC,1,166994123721939740
USDC,2024-01-10 00:00:00.000 UTC,2,22098.607857000003
DAI,2024-01-11 00:00:00.000 UTC,1,759162574902486700
USDC,2024-01-11 00:00:00.000 UTC,2,25853.877898
USDC,2024-02-02 00:00:00.000 UTC,1,5293.315768
USDT,2024-02-11 00:00:00.000 UTC,1,10239.507267
USDC,2024-02-12 00:00:00.000 UTC,1,2184.63172
USDT,2024-02-12 00:00:00.000 UTC,1,5966.866321
USDC,2024-02-14 00:00:00.000 UTC,5,18508.300808
USDT,2024-02-14 00:00:00.000 UTC,1,2510.767916
USDC,2024-02-15 00:00:00.000 UTC,2,65098.541805999994
USDC,2024-02-19 00:00:00.000 UTC,1,975.999574
DAI,2024-02-20 00:00:00.000 UTC,1,97328564231270500
USDC,2024-02-20 00:00:00.000 UTC,1,6284.790373
USDT,2024-02-20 00:00:00.000 UTC,1,3823.627145
DAI,2024-02-24 00:00:00.000 UTC,1,6078991825861317
DAI,2024-02-25 00:00:00.000 UTC,1,4311733872648988.5
DAI,2024-02-26 00:00:00.000 UTC,1,8229347701898876
USDC,2024-02-26 00:00:00.000 UTC,1,46443.481044
USDT,2024-02-26 00:00:00.000 UTC,1,16701.757161
USDC,2024-02-27 00:00:00.000 UTC,6,80910.00979
USDC,2024-02-28 00:00:00.000 UTC,8,162961.88120899998
USDT,2024-02-28 00:00:00.000 UTC,1,15870.985859
DAI,2024-02-29 00:00:00.000 UTC,1,56152813903669700
USDC,2024-02-29 00:00:00.000 UTC,1,25298.560137
DAI,2024-03-02 00:00:00.000 UTC,1,4734465890086908
USDC,2024-03-02 00:00:00.000 UTC,1,3107.638646
USDC,2024-03-04 00:00:00.000 UTC,3,37388.976332000006
USDC,2024-03-05 00:00:00.000 UTC,2,22527.514034
USDT,2024-03-05 00:00:00.000 UTC,1,4245.26664
DAI,2024-03-06 00:00:00.000 UTC,1,5787879543728067
USDC,2024-03-06 00:00:00.000 UTC,4,58725.569401
USDT,2024-03-06 00:00:00.000 UTC,1,9238.849235
USDC,2024-03-08 00:00:00.000 UTC,2,8997.999564
DAI,2024-03-11 00:00:00.000 UTC,1,32649392745412970
USDC,2024-03-11 00:00:00.000 UTC,2,10019.750048
USDT,2024-03-11 00:00:00.000 UTC,1,16860.344459
USDC,2024-03-13 00:00:00.000 UTC,1,2850.668025
USDC,2024-03-16 00:00:00.000 UTC,1,1300.526722
DAI,2024-03-17 00:00:00.000 UTC,1,145071353120610660
USDC,2024-03-17 00:00:00.000 UTC,2,2345.600891
USDC,2024-04-08 00:00:00.000 UTC,2,6757.443424000001
USDT,2024-04-10 00:00:00.000 UTC,1,1321.959619
USDC,2024-04-11 00:00:00.000 UTC,1,445.026768
USDC,2024-04-13 00:00:00.000 UTC,1,73222.121968
USDC,2024-04-16 00:00:00.000 UTC,1,372.495181
USDC,2024-04-17 00:00:00.000 UTC,1,283.829629
USDC,2024-04-18 00:00:00.000 UTC,1,1830.352861
USDC,2024-04-19 00:00:00.000 UTC,1,917.088706
DAI,2024-04-20 00:00:00.000 UTC,1,344596541873357.1
USDC,2024-04-22 00:00:00.000 UTC,1,489.160375
USDT,2024-05-04 00:00:00.000 UTC,1,192.746035
DAI,2024-05-07 00:00:00.000 UTC,1,132097779755523.69
USDC,2024-05-09 00:00:00.000 UTC,1,117.652816
USDC,2024-05-11 00:00:00.000 UTC,5,4746.518803
USDT,2024-05-11 00:00:00.000 UTC,1,140.03853
DAI,2024-05-15 00:00:00.000 UTC,2,17553804255082836
USDC,2024-05-15 00:00:00.000 UTC,1,285896.504807
DAI,2024-05-16 00:00:00.000 UTC,2,5621068381421715
DAI,2024-05-17 00:00:00.000 UTC,2,6372745538079114
USDT,2024-05-17 00:00:00.000 UTC,1,134.660457
USDC,2024-05-19 00:00:00.000 UTC,1,0.004231
DAI,2024-05-20 00:00:00.000 UTC,1,3838762451808894
USDT,2024-05-20 00:00:00.000 UTC,2,6085794.873934
DAI,2024-05-23 00:00:00.000 UTC,1,403843342185156
USDC,2024-05-26 00:00:00.000 UTC,1,287.31606
DAI,2024-06-11 00:00:00.000 UTC,1,86627807357129.84
DAI,2024-06-14 00:00:00.000 UTC,6,199140619876130240
USDC,2024-06-14 00:00:00.000 UTC,4,82919.0842
USDT,2024-06-15 00:00:00.000 UTC,1,2061.608371
USDT,2024-06-16 00:00:00.000 UTC,1,122654.982716
USDC,2024-06-20 00:00:00.000 UTC,1,104.362718
USDC,2024-06-21 00:00:00.000 UTC,1,265.615926
DAI,2024-06-29 00:00:00.000 UTC,1,61371910415624.52
USDT,2024-06-29 00:00:00.000 UTC,1,82.910186
DAI,2024-07-02 00:00:00.000 UTC,1,48148835545576.695
USDC,2024-07-05 00:00:00.000 UTC,1,54038.825495
USDC,2024-07-06 00:00:00.000 UTC,2,87.051208
USDT,2024-07-23 00:00:00.000 UTC,1,7804.390687
USDC,2024-07-24 00:00:00.000 UTC,1,1347.952855
USDC,2024-07-25 00:00:00.000 UTC,1,49.454229
USDT,2024-07-25 00:00:00.000 UTC,1,27.832784
USDC,2024-07-28 00:00:00.000 UTC,1,8.908586
USDC,2024-08-01 00:00:00.000 UTC,2,1012.327444
USDC,2024-08-04 00:00:00.000 UTC,1,91.829197
USDT,2024-08-04 00:00:00.000 UTC,1,221.976783
DAI,2024-08-05 00:00:00.000 UTC,2,15408361709709080
USDC,2024-08-05 00:00:00.000 UTC,23,1872678.0352809997
USDT,2024-08-05 00:00:00.000 UTC,16,1264959.5148449999
DAI,2024-08-16 00:00:00.000 UTC,1,27915906831783.965
USDC,2024-08-21 00:00:00.000 UTC,1,186.961125
USDT,2024-08-21 00:00:00.000 UTC,3,525.487076
USDC,2024-08-22 00:00:00.000 UTC,1,8.344424
USDC,2024-08-23 00:00:00.000 UTC,1,80194.159413
USDT,2024-08-23 00:00:00.000 UTC,2,995.2581409999999
USDC,2024-08-24 00:00:00.000 UTC,1,48.50057
USDC,2024-08-29 00:00:00.000 UTC,1,118.830947
DAI,2024-09-02 00:00:00.000 UTC,1,30040587800047.848
DAI,2024-09-03 00:00:00.000 UTC,1,13027705375443.986
USDT,2024-09-06 00:00:00.000 UTC,2,115.08911599999999
USDT,2024-09-07 00:00:00.000 UTC,1,130.716324
USDT,2024-09-08 00:00:00.000 UTC,1,113.0323
USDC,2024-09-09 00:00:00.000 UTC,1,115.32699
USDT,2024-09-09 00:00:00.000 UTC,1,95.755648
USDC,2024-09-13 00:00:00.000 UTC,1,1133.011674
USDT,2024-09-13 00:00:00.000 UTC,2,29784.123929
USDC,2024-09-15 00:00:00.000 UTC,1,22.765896
USDT,2024-09-16 00:00:00.000 UTC,1,23.444463
USDC,2024-09-21 00:00:00.000 UTC,1,35867.060651
USDC,2024-10-20 00:00:00.000 UTC,1,665.714951
USDT,2024-10-22 00:00:00.000 UTC,1,150.01469
USDC,2024-10-23 00:00:00.000 UTC,1,90.713677
USDT,2024-10-29 00:00:00.000 UTC,1,202.851836
USDC,2024-11-02 00:00:00.000 UTC,1,75.906283
USDC,2024-11-07 00:00:00.000 UTC,1,679.561887
USDC,2024-11-09 00:00:00.000 UTC,2,563.140178
USDT,2024-11-09 00:00:00.000 UTC,2,965.350599
USDT,2024-11-10 00:00:00.000 UTC,2,1704.938403
USDC,2024-11-11 00:00:00.000 UTC,1,51887.340466
USDC,2024-11-12 00:00:00.000 UTC,1,35316.250579
USDT,2024-11-19 00:00:00.000 UTC,1,162326.167044
USDC,2024-11-21 00:00:00.000 UTC,1,405.670614
USDT,2024-11-21 00:00:00.000 UTC,1,843.088613
USDC,2024-11-22 00:00:00.000 UTC,1,633.82349
USDC,2024-11-23 00:00:00.000 UTC,1,59094.673356
USDC,2024-11-25 00:00:00.000 UTC,2,14494.984498
DAI,2024-11-26 00:00:00.000 UTC,1,255352699094557
USDC,2024-11-26 00:00:00.000 UTC,1,295.538347
USDC,2024-11-28 00:00:00.000 UTC,1,409.661363
DAI,2024-11-29 00:00:00.000 UTC,1,154138937064078.03
USDT,2024-11-30 00:00:00.000 UTC,1,489.200753
USDC,2024-12-03 00:00:00.000 UTC,1,8400.686318
USDC,2024-12-04 00:00:00.000 UTC,2,312913.12438399997
USDC,2024-12-08 00:00:00.000 UTC,1,239.586829
USDT,2024-12-08 00:00:00.000 UTC,1,335.718459
USDC,2024-12-14 00:00:00.000 UTC,1,526.296335
USDC,2024-12-23 00:00:00.000 UTC,2,591.428048
USDT,2024-12-25 00:00:00.000 UTC,1,164.927711
USDC,2024-12-28 00:00:00.000 UTC,1,146.757415
USDC,2024-12-30 00:00:00.000 UTC,1,105.769973
USDT,2024-12-30 00:00:00.000 UTC,1,94.914197
USDT,2025-01-01 00:00:00.000 UTC,1,93.050939
USDT,2025-01-09 00:00:00.000 UTC,1,89.902583
USDC,2025-01-12 00:00:00.000 UTC,3,142.30289199999999
USDC,2025-01-14 00:00:00.000 UTC,1,94.567824
USDC,2025-01-15 00:00:00.000 UTC,1,178.367409
USDT,2025-01-17 00:00:00.000 UTC,1,28474.797883
USDC,2025-01-18 00:00:00.000 UTC,1,122.700259
USDT,2025-01-24 00:00:00.000 UTC,1,164.971759
USDC,2025-01-29 00:00:00.000 UTC,1,105.351744
USDT,2025-01-31 00:00:00.000 UTC,1,353.915432
DAI,2025-02-02 00:00:00.000 UTC,1,4956432870635042
USDC,2025-02-03 00:00:00.000 UTC,9,1783412.494562
USDT,2025-02-03 00:00:00.000 UTC,9,94490.90993
USDC,2025-02-05 00:00:00.000 UTC,1,80.919831
USDT,2025-02-05 00:00:00.000 UTC,1,70.27291
USDC,2025-02-19 00:00:00.000 UTC,1,121070.515351
USDC,2025-02-24 00:00:00.000 UTC,1,1329.502154
DAI,2025-02-25 00:00:00.000 UTC,1,100366969829598.02
USDT,2025-02-25 00:00:00.000 UTC,2,412.892341
USDC,2025-02-26 00:00:00.000 UTC,1,38.886989
