date,dex_volume_usd,curve_volume_usd,bridge_deposit_usd,bridge_withdraw_usd,bridge_net_flow,eth_stablecoin_supply,eth_stablecoin_minted,eth_stablecoin_bridged
2023-02-01,2962028793,213015103.0,118801319.56315461,111261986.97264537,7539332.590509236,81872561320,93715967603,129985585
2023-02-02,3739177123,204600876.0,172373302.33686325,136840986.10298446,35532316.23387879,81804221077,93670131546,128580835
2023-02-03,3104546126,236495317.0,168064266.54052952,155052116.97412506,13012149.566404462,81822648229,93724826503,128123496
2023-02-04,2218863262,142235389.0,101581852.78627674,79308277.58684316,22273575.19943358,81707752974,93605292703,129001759
2023-02-05,2527352058,220146599.0,77567922.39203833,72282463.9174829,5285458.474555433,81697384991,93617288143,129857532
2023-02-06,2671643581,195310954.0,134511795.41005528,120127296.58434094,14384498.825714335,81734930180,93660348219,131385336
2023-02-07,3503055213,329585681.0,136722332.2067552,101138226.0403127,35584106.16644248,81239536872,93171632132,131364225
2023-02-08,3192395531,246413134.0,181208780.45661247,175727277.89292303,5481502.5636894405,81051857155,93022779856,131590299
2023-02-09,4248707565,330626470.0,138495708.4926645,128962386.12513593,9533322.367528558,80902906874,92915262336,131638310
2023-02-10,4034590225,270235226.0,129756980.83305356,91303279.5248822,38453701.30817136,80584214768,92602292776,131762991
2023-02-11,2774511966,155276316.0,91867964.63651936,74742252.59981658,17125712.036702782,80469879276,92498091872,131621404
2023-02-12,2068986364,107338159.0,73794575.87106077,61479976.66343255,12314599.20762822,80414279472,92435414893,130578905
2023-02-13,3496980009,,191876340.69513136,226438253.1065268,-34561912.41139543,80335961879,92356093137,130263249
2023-02-14,3448704627,256624768.0,148576025.61813876,162450281.50596055,-13874255.887821794,79899463033,91794277623,128219262
2023-02-15,3401065854,187522792.0,158266635.92863962,135129423.11408547,23137212.814554155,79517022576,91377915640,129044058
2023-02-16,4603432449,220700013.0,202859775.10104224,145917870.0374863,56941905.063555926,78950640552,90804083091,127933846
2023-02-17,3707097260,170780127.0,176492984.16548106,120575072.56655054,55917911.59893052,78781753962,90650419192,123644435
2023-02-18,2179624169,122440175.0,144155648.9261883,127322003.85822687,16833645.067961425,78571999734,90477105479,124084349
2023-02-19,2697053228,110733086.0,153759842.13571417,127526311.74462767,26233530.391086504,78467393486,90380314981,124166716
2023-02-20,2830822383,145179523.0,181090157.55559707,136325916.52888933,44764241.02670774,78504914024,90438551367,122755143
2023-02-21,3416189574,156435963.0,183924268.2963143,117584553.5784485,66339714.717865795,78133016089,90086245676,123402535
2023-02-22,3295093975,128091875.0,118439057.07622525,103069895.11138892,15369161.96483633,77832860692,89830020189,124400753
2023-02-23,2856544365,199053314.0,148992761.74348003,156671493.39205265,-7678731.648572624,79321117997,89328484656,124430497
2023-02-24,3056164636,154262132.0,140509257.8607613,100566546.02187927,39942711.838882044,79170784775,89184751024,123043279
2023-02-25,1857180044,103991209.0,555565019.6617992,75362081.88761704,480202937.77418214,78977686269,89017955209,127588386
2023-02-26,1737763435,103007295.0,91558106.55399692,117471617.41664681,-25913510.862649888,79061453997,89108552635,127584557
2023-02-27,2453132624,130176173.0,143778475.60830727,143079273.9132511,699201.6950561702,78965103277,89006312666,127490665
2023-02-28,2435638695,117498132.0,185024488.47714263,135193353.28470346,49831135.19243917,78645812594,88705599019,128212156
2023-03-01,2801439142,130315767.0,119815809.9260952,149181528.96247756,-29365719.036382362,78470135102,88600707559,127123403
2023-03-02,2757034932,238603541.0,124414807.51159996,166544147.3446633,-42129339.833063334,78237489639,88368602122,127082332
2023-03-03,2972819618,189573177.0,128395468.04059908,144192539.0610761,-15797071.020477027,78426981589,88532343289,126702673
2023-03-04,1505992687,42311310.0,84998063.00854914,527790489.4095716,-442792426.40102243,78628805564,88745011385,120526540
2023-03-05,1783224988,97699348.0,98227118.01044935,89415936.40426187,8811181.606187478,80225268640,90348827807,120561836
2023-03-06,2111814588,209924814.0,133219515.15652296,131621912.73561817,1597602.4209047854,80249811275,90394335755,120694776
2023-03-07,2874869880,370295912.0,155538657.96524492,151419539.58342513,4119118.3818197846,79817257626,89958240466,120961898
2023-03-08,2526276163,132302667.0,170298993.24545962,146415118.72804523,23883874.51741439,79579695514,89732622460,120731175
2023-03-09,3022942655,172390352.0,193355770.38218585,168455549.32858592,24900221.053599924,79693541886,89855290931,123691079
2023-03-10,7259193891,1419879654.0,227890611.71702877,192003686.48481482,35886925.232213944,79681752163,89824452961,123168424
2023-03-11,7078236605,,720291065.9067575,751864171.8567573,-31573105.94999981,79105246063,89209324641,123183501
2023-03-12,7955685790,2404042292.0,185040628.13841256,223447235.57448113,-38406607.436068565,76985731368,86788041765,102268812
2023-03-13,8695241221,2116301331.0,261286195.33441198,232391397.78507942,28894797.54933256,79059002646,89065279519,105612964
2023-03-14,6191647586,793680042.0,223255316.2390466,213494409.29957676,9760906.939469844,77740511842,87741607671,106258610
2023-03-15,5017276906,650309439.0,169048880.77718276,133758595.87576714,35290284.901415616,77358046404,86740394668,105547502
2023-03-16,2876276624,524766296.0,200305313.5656747,209103318.90605006,-8798005.340375364,77096425525,86548389063,105667336
2023-03-17,4436815151,623146993.0,185841668.5356149,183442486.95029643,2399181.585318476,76659371614,86101366803,105068908
2023-03-18,3689954771,346661685.0,180452668.90063742,163245241.02014717,17207427.880490243,75872336532,85298976166,104921110
2023-03-19,3037650091,289866105.0,182595832.8681053,166303123.24218976,16292709.625915527,76058539272,85535849378,104837842
2023-03-20,3818358659,379354727.0,136138828.7367774,118117088.34833011,18021740.388447285,75922328483,85430898585,105065975
2023-03-21,3283289150,228492011.0,134635148.13201797,132545297.58241756,2089850.5496004075,75536133137,85062172923,105056751
2023-03-22,4642783922,162525424.0,188939479.7589296,131242131.40879126,57697348.35013835,75066772944,84536649384,104791008
2023-03-23,4042538562,250325092.0,503967870.81681824,269077427.6150885,234890443.2017297,74817411201,84329505021,103537369
2023-03-24,3952590645,226397099.0,287660454.62506944,214307854.30568144,73352600.319388,74229538528,83840547325,103447929
2023-03-25,2197220009,156239695.0,128836006.3188093,124107595.76673688,4728410.552072421,74105658666,83799404204,103842924
2023-03-26,2168799942,154758338.0,144168044.0012808,153085711.34741822,-8917667.346137404,74231652972,83931965732,103832777
2023-03-27,3017613054,231355381.0,205748183.38517666,208361017.59901458,-2612834.2138379216,73763826687,83398478886,103178553
2023-03-28,2625674270,153524207.0,170267580.94571298,148885408.0020906,21382172.94362238,73224635107,82836255502,103180042
2023-03-29,3303057344,162525424.0,124050415.75612067,100025825.69047393,24024590.065646738,72874281188,82478896978,103603234
2023-03-30,3241896991,169016100.0,74537917.55138458,72005173.60673882,2532743.9446457624,72729335300,82355245327,103755751
2023-03-31,2709589122,189366669.0,167151825.6606475,167953033.3942826,-801207.7336350977,72538389370,82201176455,103657925
2023-04-01,1834964296,94408634.0,120726479.69871868,111305302.4614296,9421177.237289086,72097175530,81772434108,103401215
2023-04-02,1950640833,89050689.0,120473526.6865928,109955809.34658645,10517717.340006351,72008388418,81691955470,103511049
2023-04-03,3053236045,176489796.0,269497648.4071675,199642943.9851755,69854704.421992,72034251672,81733764195,103513179
2023-04-04,2609651061,146395346.0,199348412.35142666,181160976.15206268,18187436.199363977,72423024238,82198104934,103300885
2023-04-05,2669657562,127975229.0,201532032.85332495,181731799.50855926,19800233.344765693,71846646277,81618216664,103207917
2023-04-06,2168549713,132369991.0,203585882.89638743,204241128.22002667,-655245.3236392438,71723680033,81499988145,103480257
2023-04-07,1535222222,80982361.0,141024160.5869157,146633256.1268135,-5609095.5398977995,71800403031,81593733278,103358933
2023-04-08,1426378248,137797931.0,188062640.50320187,179872518.85488033,8190121.648321539,71863045279,81673519403,103723218
2023-04-09,1553301875,113198522.0,266370161.36454475,180455795.5549911,85914365.80955365,71938625545,81800171415,103830487
2023-04-10,2017709113,107943159.0,243648555.71255627,199555469.20914868,44093086.5034076,71741818424,81612472457,103798285
2023-04-11,2355136264,148088174.0,212464061.20942765,210509322.3996689,1954738.8097587526,71800941574,81658710967,103804771
2023-04-12,2812504021,189811469.0,212147284.4699178,250496478.47949982,-38349194.00958201,71814197072,81650123298,103665891
2023-04-13,3088780556,264347522.0,246808548.1162987,233169043.64875457,13639504.467544138,71615904930,81421447902,103509569
2023-04-14,4100106452,252880732.0,288365272.4804861,246764618.24154273,41600654.23894337,71477773749,81302205575,103604929
2023-04-15,2284673535,110459289.0,198246234.0220418,204876684.1793004,-6630450.1572586,71295688219,81173158965,103532854
2023-04-16,2412903440,103086096.0,200209511.75435472,219825339.87583584,-19615828.12148112,71354363881,81214815704,103498250
2023-04-17,2769582365,130405053.0,215121981.94529578,215337683.92294386,-215701.9776480794,71323518269,81161520206,103481294
2023-04-18,3323066003,112223011.0,188202359.69497746,225240748.00517195,-37038388.31019449,71027369242,80865028528,103392506
2023-04-19,3973175662,152142061.0,169572237.59195402,224152139.58754337,-54579901.995589346,70811926486,80554961480,103516053
2023-04-20,3315156423,161224633.0,168690665.51438004,180410477.3564479,-11719811.842067868,70688160467,80421594658,103496553
2023-04-21,3491272069,229531560.0,167632401.7886304,163113033.8027972,4519367.985833198,70704046505,80398442278,103227141
2023-04-22,1723268053,121536070.0,202957679.5909243,166901948.10805503,36055731.48286927,70301987206,79980486218,103566690
2023-04-23,1715908752,95935652.0,122661790.64524019,137011775.76454338,-14349985.119303197,70261989278,79965034791,103524701
2023-04-24,2348555584,140814203.0,150314892.8887398,202339807.62092608,-52024914.73218629,70309626149,79980462582,103562007
2023-04-25,2458719238,157307892.0,179547809.80011103,229308699.60780504,-49760889.80769402,70176847772,79819066312,103713815
2023-04-26,3727828345,177312943.0,226608021.37714937,208385490.0089025,18222531.368246883,70042134646,79677959794,103682358
2023-04-27,3544991638,248066095.0,234372839.66257408,192591706.4705876,41781133.19198647,69992675646,79672568284,103025431
2023-04-28,2091730926,139603351.0,143109990.97677076,165166391.44954273,-22056400.472771972,69755645698,79489522938,103699756
2023-04-29,1482746778,102709694.0,134093601.01588103,125316347.85033393,8777253.165547103,69556905221,79245111524,103452781
2023-04-30,2067103703,95369086.0,116660247.49647515,153694686.34526792,-37034438.84879278,69680380480,79368247400,103658954
2023-05-01,2650141104,147145642.0,131867714.36973812,164364139.95129436,-32496425.581556246,69715941631,79384294807,103539936
2023-05-02,2344890900,132621864.0,141368473.03636006,199314150.84290984,-57945677.80654979,69611583177,79227865786,103054769
2023-05-03,2816530924,141725042.0,156819024.69565824,137506732.56137538,19312292.134282857,69558278353,79202687396,103038071
2023-05-04,2176833152,105436274.0,270241510.7097359,226116264.01273647,44125246.6969994,69340714420,78954555734,103036706
2023-05-05,3735354067,105187148.0,179493667.18551713,188374228.52679756,-8880561.34128043,69157761182,78799253200,103133810
2023-05-06,3551390344,117891803.0,147964433.09291226,133442202.1707313,14522230.92218095,69511615897,79121142994,103200087
2023-05-07,2316701148,70208333.0,121235313.51218061,135964423.93044105,-14729110.41826044,69444176453,79055158420,103111471
2023-05-08,3771156448,151089396.0,173012336.71351558,165622219.65064964,7390117.062865943,69383647039,78990188996,102923131
2023-05-09,2428483940,141027461.0,140888950.33324268,130607809.99480231,10281140.338440374,69311919588,78910824121,103023785
2023-05-10,3432164958,153603076.0,178009541.85715103,177559455.42146966,450086.4356813729,69214663933,78833320732,102894701
2023-05-11,3228302437,173992493.0,166483522.0219366,160966642.79215756,5516879.229779035,69000640861,78590749185,103139025
2023-05-12,3434395664,150771616.0,145547252.65186882,214473214.07249218,-68925961.42062336,68816183325,78447184763,103059822
2023-05-13,1691529914,49424171.0,142325338.11714596,140167518.70709115,2157819.410054803,68826503954,78354912586,102807983
2023-05-14,1501741654,58085931.0,145181051.33595505,172756890.33438176,-27575838.998426706,68837652792,78377664924,102694788
2023-05-15,2048121504,99599355.0,152319832.22741666,158579994.9981053,-6260162.770688623,68855379274,78368424384,102685590
2023-05-16,1943725922,123309030.0,143869725.24037668,126674695.31442852,17195029.925948158,68698315634,78216276750,102695332
2023-05-17,2373980397,124935747.0,208703486.43251842,246207067.9448566,-37503581.51233819,68532170287,78056983473,102667661
2023-05-18,2187574047,112763527.0,482077183.7162018,444170718.09136504,37906465.62483674,68363691423,77813043765,102663666
2023-05-19,1818915993,108618422.0,425308791.10872597,478594334.1754207,-53285543.06669474,69404492106,77927598630,102710605
2023-05-20,1372907205,60564463.0,488495977.1912841,505094944.1014275,-16598966.910143375,69240531452,77721350063,102699350
2023-05-21,1217456260,59375088.0,660327112.4006299,675780738.4313444,-15453626.030714512,69299289560,77791594381,102736131
2023-05-22,1551960355,103986297.0,344514451.4343491,370953748.54966354,-26439297.115314424,69365818677,77829286019,102662337
2023-05-23,2688750707,162525424.0,156611748.98382437,156358199.90600896,253549.07781541348,69287772307,77760238634,102768149
2023-05-24,2262256407,142492229.0,292484147.15811974,355129800.31851745,-62645653.16039771,69115214114,77595004217,102745054
2023-05-25,1919716857,141712531.0,221378635.11159086,210659808.7002608,10718826.411330074,68805561068,77346256841,102606315
2023-05-26,1607128294,91029876.0,199583951.21558368,199111632.0507002,472319.1648834944,68906206600,77454221143,102547630
2023-05-27,1134574940,47535371.0,151531225.51444262,173336123.51405007,-21804897.999607444,68924975865,77482988485,102615826
2023-05-28,1988200991,84262025.0,181831684.88689935,207628350.0678017,-25796665.180902362,68965745960,77519626023,102647381
2023-05-29,2496845154,93856243.0,159365898.01382732,252051435.47140998,-92685537.45758265,68936160215,77501846051,102553802
2023-05-30,1958907547,112822515.0,164297563.8430368,192992640.18630132,-28695076.34326452,68993931874,77515739849,102706567
2023-05-31,1917517982,109644536.0,202417534.77349713,216154241.61367393,-13736706.840176791,68917317799,77441765048,102628856
2023-06-01,1731551787,132980450.0,209328211.23964962,228438442.91803458,-19110231.67838496,68784515815,77289782535,102555805
2023-06-02,1860444801,119144586.0,167415638.565189,190833114.0889624,-23417475.523773402,68729283684,77216793346,102659411
2023-06-03,1311629967,68211724.0,141734390.1806707,162766901.08458322,-21032510.903912514,68845947944,77330022680,102751387
