balance,day,rbw_in,rbw_out
1587.4576979801059,2023-04-20 00:00:00.000 UTC,16216581.8745628,20168982.57597476
3953988.1591099417,2023-04-19 00:00:00.000 UTC,376953.40959176386,45221.58540373486
3622256.3349219128,2023-04-18 00:00:00.000 UTC,1175630.9924525141,26808.066402123
2473433.4088715212,2023-04-17 00:00:00.000 UTC,2186648.886014121,
286784.5228573999,2023-04-16 00:00:00.000 UTC,113676.08683909767,
173108.4360183022,2023-04-15 00:00:00.000 UTC,42533.0,
130575.43601830219,2023-04-14 00:00:00.000 UTC,94962.01796511732,
35613.41805318487,2023-04-13 00:00:00.000 UTC,35561.30805318487,
52.11,2023-04-12 00:00:00.000 UTC,51.0,
1.11,2023-03-23 00:00:00.000 UTC,1.11,
