date,total_stablecoin_mcap,usdt_mcap,usdc_mcap,frax_mcap,tusd_mcap,busd_mcap,pyusd_mcap,fdusd_mcap,usdp_mcap,usde_mcap
2023-02-01,136874211246.0,67785626780,41871646731,5109220274,1023393133.0,66391307,,725332036,3127120,
2023-02-02,136839506640.0,67807926779,41863253556,5099834061,1023393133.0,66223086,,725332036,3127120,
2023-02-03,137110506552.0,68021246768,41916156505,5107263655,1023393133.0,66029343,,725332037,3127120,
2023-02-04,136840254598.0,68021246768,41463032779,5095939556,1023393133.0,65764009,,725332036,3127120,
2023-02-05,136861413080.0,68057281686,41436743967,5103033741,1023393133.0,65577891,,725332036,3127120,
2023-02-06,136902052790.0,68057281686,41495257893,5108661679,1023393133.0,65390428,,725332036,3127120,
2023-02-07,136806552876.0,68175431684,41342044374,5106194710,1023353133.0,65204343,,725332036,3127120,
2023-02-08,136643131937.0,68175031684,41168900667,5096385107,1023353133.0,65001031,,725332036,3127120,
2023-02-09,136515656094.0,68175031684,41006514986,5101680743,1023353133.0,64695123,,725332037,3127120,
2023-02-10,136372348048.0,68177031683,40981967912,5089114275,1024353133.0,64562828,,725332037,3127120,
2023-02-11,136384786839.0,68312091683,40852727448,5083865127,1024353133.0,64422428,,725332036,3127120,
2023-02-12,136375826781.0,68379291680,40781641461,5081238186,1024353133.0,64206509,,725332036,3127120,
2023-02-13,136327642209.0,68404291680,40709074101,5082389286,1024353133.0,63847903,,725332036,3127120,
2023-02-14,136404028569.0,69122316678,40443960753,5095430331,1024353133.0,63641266,,725332036,3127120,
2023-02-15,136282074227.0,69484915674,40525652946,5086432467,1024353133.0,63309545,,725332036,3127120,
2023-02-16,135903273153.0,69778380670,40975801486,5087085609,1029353133.0,63045051,,725332036,3127120,
2023-02-17,136036739173.0,70146890659,41155854966,5090497126,1033353133.0,62892832,,725332036,3127120,
2023-02-18,135976064404.0,70286590658,41399631618,5069755254,1033353133.0,62540478,,725332037,3127120,
2023-02-19,135980063528.0,70395855657,41361539306,5082188199,1033353133.0,62251761,,725332036,3127120,
2023-02-20,136027543649.0,70395855657,41409293788,5084376219,1033353133.0,61963193,,725332036,3127120,
2023-02-21,135709536916.0,70432115656,41474981309,5087755205,1033353133.0,61650932,,725332036,3127120,
2023-02-22,135476130605.0,70452425653,41628495125,5025497973,1033353133.0,61413072,,725332036,3127120,
2023-02-23,135219631900.0,70583245569,41656338630,5034632736,1033353133.0,63466422,,725332036,3127120,
2023-02-24,135070425471.0,70680398565,41792319067,5023801940,1033353133.0,63185012,,725332036,3127120,
2023-02-25,135065800097.0,70790878484,42043206419,5022538524,1039853133.0,67099065,,725332036,3127120,
2023-02-26,135180624013.0,70839528483,42116692266,5022390510,1039853133.0,66760973,,725332036,3127120,
2023-02-27,135111278723.0,70876378483,42161843277,5027887498,1039853133.0,66406316,,725332036,3127120,
2023-02-28,134810805569.0,70919778481,42130176064,5031544883,1039853133.0,66250758,,725332036,3127120,
2023-03-01,134676962219.0,70961078475,41998033686,5025249703,1039853133.0,66144716,,725332036,3127120,
2023-03-02,134499453644.0,71055458455,42086086516,5013821892,1039853133.0,59977767,,725332036,3127120,
2023-03-03,134684680045.0,71109278154,42693916969,5022905153,1039853133.0,52834616,,725332036,3127119,
2023-03-04,134709376994.0,71351777828,42990691625,5008414439,1039853133.0,52674949,,725332036,3127119,
2023-03-05,134789401049.0,71435397827,43224112097,5016539623,1039853133.0,52333921,,725332036,3127119,
2023-03-06,134856803048.0,71472117827,43489028917,5002052962,1039853133.0,52147805,,725332071,3127119,
2023-03-07,134662394848.0,71584111032,43288611943,5004616099,1039853133.0,105274391,,725332036,3127119,
2023-03-08,134688825666.0,71729084555,43227648530,4992034728,1039853133.0,105251091,,725332036,3127119,
2023-03-09,134593166773.0,71733132005,43197203559,4978720763,1044853133.0,105228156,,725335710,3127119,
2023-03-10,134594111301.0,71799456169,43176044700,4914241779,1044853133.0,105077610,,725332036,3127119,
2023-03-11,134131864926.0,72075147930,42200261242,5099872824,1044853133.0,104997069,,729448906,3126292,
2023-03-12,133515073829.0,72120358309,40661099587,5829992476,1044853133.0,104901072,,726291850,2923195,
